Topic,Top Keywords,Description
0,"session, covid, debt, agenda, recess, approval, legislative, pandemic, message, scheme",Error: name 'openai' is not defined
1,"examination, corona, fish, coconut, tribunal, cheating, attorney, virus, council, china",Error: name 'openai' is not defined
2,"milk, assumption, elect, clan, morocco, delegation, parliamentary, coalition, depression, vending",Error: name 'openai' is not defined
3,"wildlife, betting, gambling, manure, oversight, participation, welcoming, justice, wild, collection",Error: name 'openai' is not defined
4,"cancer, saccos, deaf, kidney, ken, sign, diabetes, language, census, extrajudicial",Error: name 'openai' is not defined
5,"cancer, copy, editorial, prevention, control, equipment, draft, diagnosis, malaria, final",Error: name 'openai' is not defined
6,"excellency, joint, eleventh, applause, promote, parliamentary, growth, expand, upstanding, spiritual",Error: name 'openai' is not defined
7,"vocational, delegation, training, sanitary, debt, chute, estate, kindly, tabitha, fertilizer",Error: name 'openai' is not defined
8,"potato, therefor, subclause, substituting, immediately, council, printer, intelligence, climate, paragraph",Error: name 'openai' is not defined
9,"illness, subsection, polytechnics, substituting, therefor, ombudsman, supporter, paragraph, facility, unit",Error: name 'openai' is not defined
10,"rung, bell, commencement, conference, determine, expiration, adjourn, mandatory, ten, obviously",Error: name 'openai' is not defined
11,"data, processor, energy, personal, controller, traffic, subject, sub, congestion, meteorological",Error: name 'openai' is not defined
12,"illness, tea, mentally, depression, ombudsman, ill, sierra, disaster, society, treatment",Error: name 'openai' is not defined
13,"applause, joint, excellency, fellow, administration, covenant, nationalist, parliamentary, promise, transformation",Error: name 'openai' is not defined
14,"coffee, sinking, acquisition, treasury, conditional, farmer, curfew, inquiry, colon, disbursement",Error: name 'openai' is not defined
15,"irrigation, plant, species, prosopis, arid, tree, cattle, youth, ecosystem, insecurity",Error: name 'openai' is not defined
16,"west, unconstitutional, disaster, amend, citizenship, whip, tribunal, disbursement, fame, immigration",Error: name 'openai' is not defined
17,"natural, exploit, mineral, oil, northern, exploitation, mining, coal, region, resource",Error: name 'openai' is not defined
18,"expenditure, urban, annuity, accountability, controller, project, absorption, message, allocation, aside",Error: name 'openai' is not defined
19,"slum, ward, cuba, tragedy, message, concurrence, equitable, oversight, dam, housing",Error: name 'openai' is not defined
20,"rais, pesa, speech, gun, kazi, insecurity, sudan, coast, shamba, hungry",Error: name 'openai' is not defined
21,"natural, informal, exploitation, disabled, living, resource, disability, micro, sector, audit",Error: name 'openai' is not defined
22,"benjamin, rugby, wildlife, conservation, irrigation, compensation, sport, impeachment, municipality, sports",Error: name 'openai' is not defined
23,"port, refinery, university, railway, strike, distinguished, insurance, oil, jubilee, terrorism",Error: name 'openai' is not defined
24,"speech, alcohol, rais, corruption, insurance, excellency, drinking, aside, step, jubilee",Error: name 'openai' is not defined
25,"chinese, dispute, language, alternative, nil, deaf, english, resolution, traditional, samburu",Error: name 'openai' is not defined
26,"condole, covid, minister, kiswahili, death, soul, pandemic, conditional, eternal, pole",Error: name 'openai' is not defined
27,"polio, harold, headquarters, town, immunization, location, landless, list, boundary, vaccination",Error: name 'openai' is not defined
28,"wildlife, printer, transfer, virginity, deed, teller, conservation, nil, disbursement, disability",Error: name 'openai' is not defined
29,"coffee, geothermal, insecurity, electricity, tana, tea, energy, culture, company, crime",Error: name 'openai' is not defined
30,"registered, registration, rural, gravel, feeder, disbursement, kang, ata, calendar, infrastructure",Error: name 'openai' is not defined
31,"attorney, advertising, outdoor, advertisement, tea, solicitor, recruitment, advertise, affirmative, property",Error: name 'openai' is not defined
32,"ballot, box, oath, affirmation, nominated, candidate, unlocked, candidature, notification, determination",Error: name 'openai' is not defined
33,"cerebral, palsy, radicalization, wiper, media, terrorism, statutory, research, digital, jubilee",Error: name 'openai' is not defined
34,"impeachment, allegation, violation, removal, impeach, section, procurement, plenary, evidence, investigate",Error: name 'openai' is not defined
35,"south, sugar, formula, deaf, supreme, democracy, cog, covid, index, allocation",Error: name 'openai' is not defined
36,"mung, dispute, operative, traditional, treaty, resolution, registration, conciliation, migration, registered",Error: name 'openai' is not defined
37,"nil, teller, childhood, roll, early, virus, voting, promotion, carried, printer",Error: name 'openai' is not defined
38,"regulation, insecurity, transfer, conferment, head, historical, advisory, insignia, billow, infrastructure",Error: name 'openai' is not defined
39,"sudan, elect, fuel, albinism, examination, nock, street, south, child, petroleum",Error: name 'openai' is not defined
40,"intersex, judiciary, subsection, therefor, substituting, director, cancer, immediately, paragraph, nil",Error: name 'openai' is not defined
41,"counsel, peter, charles, michael, page, witness, evidence, duncan, volume, acting",Error: name 'openai' is not defined
42,"evaluation, teller, assets, rice, billow, roll, nil, remuneration, arms, fruit",Error: name 'openai' is not defined
43,"pope, vice, suspension, physical, therefor, substituting, chancellor, sub, plan, university",Error: name 'openai' is not defined
44,"data, research, private, consent, personal, project, subject, ranch, partnership, misuse",Error: name 'openai' is not defined
45,"nuclear, pollution, south, energy, science, transitional, top, transition, technology, hydro",Error: name 'openai' is not defined
46,"corruption, veterinary, sub, god, fight, animal, moi, project, ferry, hong",Error: name 'openai' is not defined
47,"virtual, discrimination, cohesion, forest, ethnic, covid, compensation, species, hate, dam",Error: name 'openai' is not defined
48,"adult, adjudication, municipality, miscellaneous, urban, grain, ruling, spillage, forum, transition",Error: name 'openai' is not defined
49,"parking, elderly, asbestos, football, coat, youth, expressway, sanitary, unemployment, commercial",Error: name 'openai' is not defined
50,"covid, flag, kang, ata, mung, confidence, removal, korona, pandemic, truck",Error: name 'openai' is not defined
51,"forest, mediation, register, nomination, electoral, cord, petroleum, independent, conservator, joint",Error: name 'openai' is not defined
52,"old, elderly, teacher, voter, identification, senior, distribution, age, registration, ballot",Error: name 'openai' is not defined
53,"extension, agricultural, tabitha, capitation, ferry, agriculture, loan, award, appropriation, nil",Error: name 'openai' is not defined
54,"prison, cattle, rustling, departmental, official, penal, correctional, impeachment, parliamentary, billow",Error: name 'openai' is not defined
55,"minister, mall, condole, grief, death, terrorism, lawyer, heartfelt, mourning, knew",Error: name 'openai' is not defined
56,"flag, wildlife, fly, compensation, boundary, railway, speech, park, treasury, experience",Error: name 'openai' is not defined
57,"marie, jean, autism, extension, pastor, crystal, mung, agricultural, director, agriculture",Error: name 'openai' is not defined
58,"municipality, mes, equipment, status, media, disaster, covid, town, elevation, union",Error: name 'openai' is not defined
59,"sports, para, equalization, advisory, training, staff, rationalization, military, sporting, disability",Error: name 'openai' is not defined
